Designator,Mid X,Mid Y,Rotation,Layer
C1,218.71,-83.765,270.0,top
C2,216.61,-83.765,270.0,top
D55_3,222.04,-116.800555,0.0,top
D55_2,186.295,-116.78,0.0,top
D55,186.34,-83.68,0.0,top
D56_3,232.04,-116.800555,0.0,top
D56_2,196.295,-116.78,0.0,top
D56,196.34,-83.68,0.0,top
D57_3,242.04,-116.800555,0.0,top
D57_2,206.295,-116.78,0.0,top
D57,206.34,-83.68,0.0,top
D58_3,222.04,-126.800555,0.0,top
D58_2,186.295,-126.78,0.0,top
D58,186.34,-93.68,0.0,top
D59_3,232.04,-126.800555,0.0,top
D59_2,196.295,-126.78,0.0,top
D59,196.34,-93.68,0.0,top
D60_3,242.04,-126.800555,0.0,top
D60_2,206.295,-126.78,0.0,top
D60,206.34,-93.68,0.0,top
D61_3,222.04,-136.800555,0.0,top
D61_2,186.295,-136.78,0.0,top
D61,186.34,-103.68,0.0,top
D62_3,232.04,-136.800555,0.0,top
D62_2,196.295,-136.78,0.0,top
D62,196.34,-103.68,0.0,top
D63_3,242.04,-136.800555,0.0,top
D63_2,206.295,-136.78,0.0,top
D63,206.34,-103.68,0.0,top
H1,183.09,-75.11,0.0,top
J1_3,232.185,-112.730555,90.0,top
J1_2,196.44,-112.71,90.0,top
J1,196.485,-79.61,90.0,top
J2_3,247.14,-126.805555,0.0,top
J2_2,211.395,-126.785,0.0,top
J2,211.44,-93.685,0.0,top
J3_3,216.59,-126.960555,0.0,top
J3_2,180.845,-126.94,0.0,top
J3,180.89,-93.84,0.0,top
J4_3,232.14,-141.150555,90.0,top
J4_2,196.395,-141.13,90.0,top
J4,196.44,-108.03,90.0,top
J5,224.04,-87.44,270.0,top
R1,229.5,-84.7,180.0,top
U1,223.91,-83.065,0.0,top
